ACCE_ABSORB_COST	Cena absorpcji: {}
UI_BOLD_FONT	Tahoma:12b
UI_CANCEL	Anuluj
UI_CLOSE	Zamknij
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Odrzuć
UI_ITEM	Resolution
UI_LEFT_TIME	Pozostały Czas: {} Sek.
UI_NEXT	Kontynuuj
UI_NEXTPAGE	Dalej
UI_NOCONTENTS	Brak Zawartości
UI_NONAME	Brak Nazwy
UI_OK	OK
UI_POS_UNKNOWN	Nieznane Położenie
UI_PREVPAGE	Wróć
UI_UNKNOWN	Nieznany
UNLIMIT_ENTER_CZ_QUESTION	Możesz wejść do Świątyni Zodiaku na {} min. Chcesz użyć tego przedmiotu?
UPDATE_TIME	Data
UPLOAD_MARK_CHECK_NEED_RECONNECT	Wgrywanie musi zostać ponownie rozpoczęte.
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Wgrywanie musi zostać ponownie rozpoczęte.
USE_ITEM_FAILURE_PRIVATE_SHOP	Nie możesz używać przedmiotów, jeśli otworzyłeś prywatny Magazyn.
USE_SKILL_ERROR_UNKNOWN	Nieznany Błąd Umiejętności: {}
	
ACCE_ABSORB_COST	Absorption price: {}
AFFECT_BLUE_POSSESSION	 Indigo Wolf Soul
AFFECT_LOVE_POINT	Love points: {}%
AFFECT_RED_POSSESSION	 Crimson Wolf Soul
BLEND_POTION_NO_INFO	The bonuses are only visible after the purchase.
BLEND_POTION_NO_TIME	The time becomes visible only after the purchase.
CANNOT_CHANGE_FIGHT_MODE	You can't change the fight mode from this map.
CANNOT_TOGGLE_DS_STATE_SO_FAST	The status of the Alchemy can not be changed immediately. Please wait.
CHARACTER_CREATE_APPEARANCE1	Look 1
CHARACTER_CREATE_APPEARANCE2	Look 2
CHARACTER_CREATE_FEMALE	Female
CHARACTER_CREATE_MALE	Male
CHAT_OPEN_EMOJI	Emoji
CHOOSE_YOUR_SKILL_GROUP	Choose your training
CREATE_ERROR_LYCAN_DISABLED	You cannot create a lycan.
CUBE_CONFIRM	Do you really want to craft? The success rate is {}%.
DESTROY	Destroy
DESTROYER	 Destroy
DETAILS_78	Siła vs. Stworzenia
DETAILS_79	Siła vs boss
DETAILS_80	Siła vs kamień metinowy
DETAILS_TOOLTIP_78	Siła vs Stworzenia: Zwalcza większe szkody na Stworzenia.
DETAILS_TOOLTIP_79	Siła vs Bossmonsters: Zwalcza większe szkody na boss.
DETAILS_TOOLTIP_80	Siła vs kamień metinowy: Zwalcza większe szkody na kamień metinowy.
DO_YOU_DESTROY_ITEM	Do you want to DESTROY this item?
DO_YOU_REMOVE_ITEM_FROM_SHOP	Do you want to remove {} from your shop?
DO_YOU_WANT_TO_OPEN_THIS_WEB_LINK	Are you sure that you want to open up this link? 
EMOTION_THROW_MONEY	Bogaty
EMOTION_THROW_MONEY_DESC	Throws 1000 Coins and distribut them (with a charge) to the player nearby
ENTER_THE_NAME_FOR_YOUR_PRESET	Name your preset:
ERROR_TARGET_HAVE_BLOCK_CHAT	|cffff796a|H|h[Block chat] Ich kann dir nicht antworten, da ich einen Chat-Block habe.:|h|r [{} Stunden] [{} Minuten] [{} Sekunden]
GIFTBOX_FUNCTIONALITY_DESC	CTRL + right click to open 50 examples.
GUILDSTORAGE_NEXT_LOG_OPEN_TIME	Du kannst die Logs erst wieder in 30 Sekunden anfordern.
HID_QUEST_BUTTONS	Hide Quests
INNER_DECAY	Inner decay
INTRO_SELECT_LEVEL	Lv. {}
INVENTORY_REALLY_STOP_USE_ITEM	Are you sure that you want to take this item off?
LANG_ARABIC	Arabic
LANG_BULGARIAN	Bulgarian
LANG_CROATIAN	Croatian
LANG_CZECH	Czech
LANG_DANISH	Danish
LANG_DEFAULT	Default
LANG_ENGLISH	English
LANG_FRENCH	French
LANG_GERMAN	German
LANG_GREEK	Greek
LANG_HUNGARIAN	Hungarian
LANG_ITALIAN	Italian
LANG_NETHERLANDISH	Dutch
LANG_POLISH	Polish
LANG_PORTUGUESE	Portuguese
LANG_RESTART_FOR_CHANGE	VERY IMPORTANT! A Client-Restart is needed to activate your settings.
LANG_ROMANIAN	Romanian
LANG_RUSSIAN	Russian
LANG_SPANISH	Spanish
LANG_TURKEY	Turkish
LOGIN_CONNECT_CANCEL	The connection has stopped.
LOGIN_FAILURE_SHUTDOWN_TIME	Go to bed ...
LOGIN_FAILURE_VERSION	Your client is too old please patch.
LOGIN_FAILURE_WRONG_SOCIALID	Your security code is wrong
LOGIN_THROTTLE_TEXT	Too many failes logins\\nTry again in {}.
MAP_AFFEN	Solitary
MAP_ALABASTA	Anime-Farmmap (150)
MAP_ANGLAR_DUNGEON	Anglar Dungeon
MAP_CRYSTAL_DUNGEON	Crystal-Dungeon
MAP_DEMONDUNGEON	Dimension-Dungeon
MAP_DEVILTOWER2	Hell-Dungeon
MAP_EISLAND	Iceland High
MAP_FEUERLAND	Fireland High
MAP_FEUERWALDEIS	Fireforest ice 
MAP_GUILD_BUILD	GM-Playground
MAP_GUILD_INSIDE	Monarch country 
MAP_NAGA	Naga Valley
MAP_ORC_LABRINTH	Orc-Maze
MAP_ORKA	Orka
MAP_TREE2	Red Wood
MAP_UNDERWATER	Underwater-Dungeon
MAP_ZODIAC	Zodiac Temple
MESSAGE_POPUP_FRIEND_LOGIN	{} is online now
MESSAGE_POPUP_FRIEND_LOGOUT	{} is offline now
MESSAGE_POPUP_MESSAGE	Notice
MESSENGER_ADD_FRIEND_ANSWER_TIMEOVER	Friendship request aborted.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND	{} send you a friendrequest, accept?
MINI_GAME_RUMI_EXIT_QUESTION2	 You receive a reward based on your points.
MINI_GAME_RUMI_START_QUESTION2	 Dou you want to play?
NEVER_EXPIRES_DURATION	Does not expire
NOT_POSSIBLE	[Not allowed]
OPTION_SHOW_NPC_SHOPS	Shops
OWN_INVALID_LANGUAGE	This language is currently not available.
OWN_LOGIN_FAILURE_ADVERT	Fremdwerbung, Account permanent gesperrt.
OWN_LOGIN_FAILURE_AMZ	Wrong Amazoncode
OWN_LOGIN_FAILURE_AMZN	Wrong Amazoncode
OWN_LOGIN_FAILURE_BOT	Botting detected/Permanently Banned
OWN_LOGIN_FAILURE_DON	Donation Error
OWN_LOGIN_FAILURE_EPVP	Versuch auf EPVP zu handeln
OWN_LOGIN_FAILURE_HWIDB	Zugriff verweigert.
OWN_LOGIN_FAILURE_MAINT	Maintenance/Wartung
OWN_LOGIN_FAILURE_PERM	Virtuelles Hausverbot, keine Diskussion.
OWN_LOGIN_FAILURE_PWCHANGE	Please change your password
OWN_LOGIN_FAILURE_SCAM	This account was hacked, please contact the Team
OWN_LOGIN_FAILURE_TRADE	Server Trading/Permanently Banned
OWN_LOGIN_FAILURE_TS3	Please come to our teamspeak server
OWN_LOGIN_FAILURE_WHWID	PC is not enabled for this account
PET_BAG_DESC	{}
PET_CAN_NOT_EGG_ITEM_USE	You cannot open your Incubator while trading or while you have your storeroom or a private shop open.
PET_CAN_NOT_FEED_SPLIT_ITEM	You cannot place any split items in this window.
PET_CAN_NOT_FEED_TYPE	You cannot feed your pet like that. Please try something else.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Your pet must be level {} to train and promote it to the next stage of evolution.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Your pet must have 100% experience to train and promote it to the next stage of evolution.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Your pet already reached the highest stage of evolution.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	You cannot open a private shop when you have summoned your pet.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Your pet must be {} days old to train and promote it to the next stage of evolution.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	You cannot call your pet because the duration has expired.
PET_CAN_NOT_USE_BAG	You cannot use the Transport Box because your pet has already expired.
PET_HATCHING_ACCEPT	"Do you want to call your pet ""{}""?"
PET_HATCHING_MONEY	Price: {}
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	You cannot carry out any other interactions while the Incubator is open.
PET_INFORMATION_STAGE1	Young
PET_INFORMATION_STAGE2	Wild
PET_INFORMATION_STAGE3	Valiant
PET_INFORMATION_STAGE4	Heroic
PET_INFO_EXP	Current experience:
PET_INFO_ITEM_EXP	Current item EXP
PET_INFO_NEXT_EXP	Remaining experience:
PET_INFO_NEXT_ITEM_EXP	Remaining item EXP
PET_MSG_NOT_ENOUGH_MONEY	You do not have enough Yang.
PET_NAME_CHANGE_ACCEPT	Do you want to change your pet's name to {}?
PET_NAME_MIN	The name entered is too short.
PET_SKILL_DELETE_QUESTION_DLG_MSG	Skills are now available.
PET_SKILL_LEARN_QUESTION_DLG_MSG	"Do you want to start hero training with ""{}""?"
PET_SKILL_TOOLTIP_COOLTIME	Cooldown: {} seconds
PET_SKILL_TOOLTIP_DURATION	Duration: {} seconds
PET_SKILL_TOOLTIP_HEAL	When your HP drops below 20%%, you have \n a {}% chance to increase your HP by {}.A
PET_SKILL_TOOLTIP_INVINVIBILITY	Your character has a {}% chance to become invincible\n when your HP drops below 10%%. \n Effect duration: {:.1f} seconds.A
PET_SKILL_TOOLTIP_REMOVAL	There is a {}% chance to immediately remove \n all effects like slow, poison or bleeding if your\n character is affected.N
PET_SKILL_UPGRADE_QUESTION_DLG_MSG1	Increase hero training to next stage?
PET_SKILL_UPGRADE_QUESTION_DLG_MSG2	Cost: {}
PET_TOOLTIP_COSTUME_BONUS	
PET_TOOLTIP_DEF	Defense
PET_TOOLTIP_HP	HP
PET_TOOLTIP_LEVEL	Level
PET_TOOLTIP_LIFETIME_OVER	Expired
PET_TOOLTIP_SKILL_BONUS_VALUE	in hero training
PET_TOOLTIP_SKILL_CUR_LEVEL	Level: {}
PET_TOOLTIP_SKILL_NEXT_LEVEL	Next level: {} (max. {})
PET_TOOLTIP_SP	SP
PET_TOOLTIP_TRADABLE	Tradeable
PET_TOOLTUP_SKILL	{} (Stage {})
POLYMORPH_AFFECT_REMOVE_QUESTION	Are you sure you want to remove polymorph?
POLYMORPH_AFFECT_TOOLTIP	Polymorph Marble
PRESET_DELETE	Del.
PRESET_DELETE_TOOLTIP	Delete the current preset
PRESET_SAVE	S.
PRESET_SAVE_TOOLTIP	Save your preset
PRIVATESHOPSEARCH_COSTUME_WEAPON	 Skóra z bronią
PRIVATESHOPSEARCH_RING	Ring
PRIVATESHOPSEARCH_SUB_AFFECT	Elixier
PRIVATESHOPSEARCH_SUB_ANIT_EXP	Anti-EXP
PRIVATESHOPSEARCH_SUB_AUTO_HP	Auto-PZ
PRIVATESHOPSEARCH_SUB_AUTO_SP	Auto-SP
PRIVATESHOPSEARCH_SUB_MOUNT	Uchwyty
PRIVATESHOPSEARCH_SUB_PET	Zwierzęta
PRIVATESHOPSEARCH_TOGGLE	Przełączany
PROPOSALS	Propozycje
REFINE_KEEP_WINDOW_OPEN	Keep window open?
SCREENSHOT_SAVE_SUCCESS	Your screenshot has been successfully saved {}..
SELECT_STORAGE_GUILD	Guild Storage
SELECT_STORAGE_MALL	Mall Storage
SELECT_STORAGE_SAFEBOX	Safebox
SELECT_STORAGE_TITLE	Choose Storage
SHOP_ITEM_REMOVED	Sold out
SHOWN_QUEST_BUTTONS	show Quests
SKILLGROUP_NAME_ASSASSIN_1	Blade Fight
SKILLGROUP_NAME_ASSASSIN_2	Archery
SKILLGROUP_NAME_NONE	None
SKILLGROUP_NAME_SHAMAN_1	Dragon Force
SKILLGROUP_NAME_SHAMAN_2	Healing Force
SKILLGROUP_NAME_SURA_1	Magic Weapon
SKILLGROUP_NAME_SURA_2	Black-Magic
SKILLGROUP_NAME_WARRIOR_1	Body-Fight
SKILLGROUP_NAME_WARRIOR_2	Mental-Fight
SKILL_BUDONG	Wird nicht mehr benutzt
SKILL_GEONGON	SKILL_GEONGON Wird nicht mehr benutzt
SKILL_GRADE_NAME_LEGENDARY_MASTER	{} Legendary Master
SKILL_GROUP_WOLFMAN_1	Instinct
SKILL_GROUP_WOLFMAN_2	N.A
SKILL_HWAYEOM	SKILL_HWAYEOM Wird nicht mehr benutzt
SKILL_HYEOLMA	SKILL_HYEOLMA Wird nicht mehr benutzt
SKILL_INMA	SKILL_INMA Wird nicht mehr benutzt
SKILL_JEUNGCHE	SKILL_JEUNGCHE Wird nicht mehr benutzt
SKILL_JEUNGHON	SKILL_JEUNGHON Wird nicht mehr benutzt
SKILL_JIGAM	SKILL_JIGAM Wird nicht mehr benutzt
SKILL_JIPJUNG	SKILL_JIPJUNG Wird nicht mehr benutzt
SKILL_JUMAGEOM	SKILL_JUMAGEOM Wird nicht mehr benutzt
SKILL_KWAEGEOM	SKILL_KWAEGEOM Wird nicht mehr benutzt
SKILL_LEGBOUND	SKILL_LEGBOUND Wird nicht mehr benutzt
SKILL_MUSA	SKILL_MUSA Wird nicht mehr benutzt
SKILL_SINCHAK	SKILL_SINCHAK Wird nicht mehr benutzt
SKILL_WONSIN	SKILL_WONSIN Wird nicht mehr benutzt
SKILL_YONGSIN	SKILL_YONGSIN Wird nicht mehr benutzt
TARGET_BUTTON_UNBLOCK	Deblock
TARGET_CHAT_BLOCK	Player Chat block
TARGET_DISCONNECT	 Kik player 
TARGET_HP_INFO	{0}/{1}({2:0.2f}%) HP
TARGET_INFO_DAMAGE	Uszkodzenie: {} - {}
TARGET_INFO_DEFENSE	Obrona : {}
TARGET_INFO_EXP	EXP : {}
TARGET_INFO_GOLD_MIN_MAX	Gold: {} ~ {}
TARGET_INFO_MAINRACE	Wyścig : {}
TARGET_INFO_MAX_HP	Max. HP : {}
TARGET_INFO_NEWRACE_DESERT	Pustynia
TARGET_INFO_NEWRACE_FIRE	Ogień
TARGET_INFO_NEWRACE_ICE	Lód
TARGET_INFO_NEWRACE_INSECT	Insekt
TARGET_INFO_NEWRACE_TREE	Drzewo
TARGET_INFO_NO_ITEM_TEXT	 Brak dostępnych pozycji
TARGET_INFO_NO_RACE	 Nie ma rasy
TARGET_INFO_RACE_ANIMAL	Rathalos
TARGET_INFO_RACE_DARK	Ciemność
TARGET_INFO_RACE_DESERT	Stworzenie Pustynne
TARGET_INFO_RACE_DEVIL	Diabeł
TARGET_INFO_RACE_EARTH	Ziemia
TARGET_INFO_RACE_ELEC	Błyskawica 
TARGET_INFO_RACE_FIRE	Ogień
TARGET_INFO_RACE_HUMAN	Ludziom
TARGET_INFO_RACE_ICE	Lód
TARGET_INFO_RACE_INSECT	Insekt
TARGET_INFO_RACE_METIN	Kamień
TARGET_INFO_RACE_MILGYO	Gods
TARGET_INFO_RACE_ORC	Fatalis
TARGET_INFO_RACE_TREE	Creatures
TARGET_INFO_RACE_UNDEAD	Nieumarłym
TARGET_INFO_RACE_WIND	Wiatr
TARGET_INFO_REGEN_INFO	regeneracja {}% każdy {} sek.
TARGET_INFO_RESISTS	Opory:
TARGET_INFO_RESISTS_LINE0	Miecze: {}% Dwuręczne: {}% Dzwony: {}%
TARGET_INFO_RESISTS_LINE1	Sztylety: {}% Wachlarze: {}% Szpony: {}%
TARGET_INFO_STONE_NAME	 Kamień duchów
TARGET_INFO_SUBRACE	Podgatunki : {}
TARGET_LEVEL_LEGENDARY	Legendarny
TIME_MIN	{}Min
TIME_MIN_SEC	{}Min:{}Sec
TOOLTIP_ANTIFLAG_CHANGE_ATTRIBUTE	Switch
TOOLTIP_ANTIFLAG_DESTROY	Destroy
TOOLTIP_ANTIFLAG_DROP	Drop
TOOLTIP_ANTIFLAG_GIVE	Exchange
TOOLTIP_ANTIFLAG_MYSHOP	Shop
TOOLTIP_ANTIFLAG_PKDROP	PvP-Drop
TOOLTIP_ANTIFLAG_SAFEBOX	Storage
TOOLTIP_ANTIFLAG_SELL	Sell
TOOLTIP_ANTIFLAG_STACK	Stack
TOOLTIP_APPLY_ATTBONUS_ARACHNID	Strong against Spiders +{}%
TOOLTIP_APPLY_ATTBONUS_BOSS	Strong against Bosses + {}%
TOOLTIP_APPLY_ATTBONUS_METIN	Strong against Metinstones +{}%
TOOLTIP_APPLY_ATTBONUS_TRENT	Silny przeciwko Creatures + {}%
TOOLTIP_APPLY_BOOST_CRITICAL_DMG	Critical Boost +{}%
TOOLTIP_APPLY_BOOST_PENETRATE_DMG	Penetrate Boost +{}%
TOOLTIP_EXP_CURSE	ExpFluch+{}
TOOLTIP_NEXT_SKILL_LEVEL_3	Następny poziom: {}
TOOLTIP_PICK_MAX	 Maximum Upgrade
TOOLTIP_SHOP_DOUBLE_UP	Offline time+{}
TRADE_FOR_NOTHING1	Rozdajesz rzeczy,
TRADE_FOR_NOTHING2	to nie może być odwrócone.
TRADE_FOR_NOTHING3	Jesteś pewien, że chcesz kontynuować?
VALUABLE_ITEM_SURE	Ta pozycja może być dla Ciebie wartościowa
WAR_DIALOG_LIVES	Życie
WHISPER_ADMIN_CANCEL_ACTION	Beende Aktion
WHISPER_ADMIN_CANNOT_SEND_MESSAGE	You cannot Answer the System.
WHISPER_ADMIN_CLEAR_MESSAGE	Lösche Text
WHISPER_ADMIN_CUR_LANG	[i] Aktuelle Sprache gewählt: |cFFffce00[{}]
WHISPER_ADMIN_LEN_TEXT	[i] Mindest/Maximale Zeichen: |cFF7cff00{}|r / |cFFff0000{}|r
WHISPER_ADMIN_MESSAGE	[Information] : [{}] : {}
WHISPER_ADMIN_QUESTION_SEND	Bist du dir sicher diese Nachricht zu versenden ? Wenn du keine Erlaubnis zum Benutzen vom Panel besitz, wirst du mit Konsequenzen rechenn müssen.
WHISPER_ADMIN_SEND_MESSAGE	Sende Nachricht
WHISPER_ADMIN_TITLE_NAME	GM: Sende whisper Nachricht für das jeweilige Reich
YOUR_PRESET_WAS_CREATED	Your preset {} was created successfully.
YOUR_PRESET_WAS_REMOVED	Your preset {} was successfully removed.
YOUR_SHOP	Your Shop
YOU_NEED_TO_NAME_YOUR_PRESET	You need to name your preset.
YOU_NEED_TO_NAME_YOUR_PRESET_PROPERLY	You need to name your proposal properly now special chars allowed.
LOGIN_FAILURE_PIN	PIN Niepoprawny
LOGIN_FAILURE_PINBLK	PIN Niepoprawny
AFFECT_REMOVE_QUESTION	Czy naprawdę chcesz usunąć ten bufor?
REFINE_SET_1666_WARNING_1	Are you sure you want to improve this item?
REFINE_SET_1666_WARNING_2	ATTENTION: All ores disappear after reinforcement.
WHISPER_GM_WARNING	Wiadomości takie jak "Cześć" czy "Witaj" są ignorowane. Aby uzyskać odpowiedź tak szybko jak to możliwe, proszę zadać swoje pytanie bezpośrednio.
WHISPER_USER_WARNING	[Info] Nigdy nie podawaj swojego loginu lub hasła. Zakazane jest kupowanie dóbr wirtualnych za prawdziwe pieniądze.
END_PREVIEW	P. Zamknąć
CHOOSE_TITLE	Wybierz tytuł
CHOOSE_TITLE_TEXT	Wybierz tytuł i kolor.
HGUARD_CODE_ERROR	Nieważny kod
PRIVATE_SHOP_REMOVE_ITEM_QUESTION	Naprawdę chcesz usunąć tę pozycję?
PRIVATE_SHOP_OPEN_BUTTON	Otwarty sklep
PREVIEW	Premiera
LOGIN_FAILURE_EINVAL	Zły wpis!

REFINE_COST_AND_PERC	Szansa: {}%\nKoszty: {} Yang
REFINE_KEEP_WINDOW_OPEN	Zostawić otwarte okno?
SCREENSHOT_SAVE_SUCCESS	Twój screenshot jest Przechowywany {}..
SELECT_STORAGE_GUILD	Gildii magazyn
SELECT_STORAGE_MALL	Itemshop
SELECT_STORAGE_SAFEBOX	Magazyn
SELECT_STORAGE_TITLE	Co checesz zrobic?
NOT_POSSIBLE	[zabroniony]
TOOLTIP_ANTIFLAG_DESTROY	Niszczyć
TOOLTIP_ANTIFLAG_GIVE	Wymiana
TOOLTIP_ANTIFLAG_SAFEBOX	magazyn
TOOLTIP_ANTIFLAG_SELL	Sprzedaż
TOOLTIP_ANTIFLAG_STACK	Stak
SWITCHBOT_TEXT1	Launch Switchbot
SWITCHBOT_TEXT10	) Start
SWITCHBOT_TEXT11	Nieaktywny
SWITCHBOT_TEXT12	6/7 Aktywny
SWITCHBOT_TEXT13	6/7 Stop
SWITCHBOT_TEXT14	Gotowe
SWITCHBOT_TEXT15	) Stop
SWITCHBOT_TEXT16	6/7 Gotowe
SWITCHBOT_TEXT17	6/7 Wznowić
SWITCHBOT_TEXT18	Slot {}: Gotowe
SWITCHBOT_TEXT19	Slot {}: no Switchitems!
SWITCHBOT_TEXT2	Start 6/7
SWITCHBOT_TEXT20	Aktywny ({}%)
SWITCHBOT_TEXT21	Slot 6/7 {}: Gotowe
SWITCHBOT_TEXT22	Active 6/7 ({}%)
SWITCHBOT_TEXT23	Włóżcie item tutaj.
SWITCHBOT_TEXT24	Ten przedmiot nie nadaje sie do zmiany
SWITCHBOT_TEXT25	Ten przedmiot jest juz wybrany
SWITCHBOT_TEXT26	Dodano przedmiot 
SWITCHBOT_TEXT27	rozszerzać
SWITCHBOT_TEXT28	stop all
SWITCHBOT_TEXT29	minimalizować
SWITCHBOT_TEXT3	Bonus 
SWITCHBOT_TEXT30	Rozszerzona pomoc
SWITCHBOT_TEXT31	pomoc
SWITCHBOT_TEXT32	Informacja
SWITCHBOT_TEXT33	start
SWITCHBOT_TEXT34	+str(index+1)+
SWITCHBOT_TEXT4	Nie wybrano Atrybut
SWITCHBOT_TEXT5	Nieaktywny
SWITCHBOT_TEXT6	6/7 Nieaktywny
SWITCHBOT_TEXT7	Zamknij
SWITCHBOT_TEXT8	Aktywny
SWITCHBOT_TEXT9	switch (
TARGET_CHAT_BLOCK	Zablokuj Chat
WIKI_CHESTINFO_COMMON_DROP	Alternativdropp
CHARACTER_NAME_MAX_LEN	24
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_OFFLINE	Offline
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_ACCOUNTBAN	Bereits {} mal gesperrt.
WIKI_CATEGORY_DUNGEONS	Dungeons
WIKI_CATEGORY_EVENTS	Events
QUEST_TIMER_DUNGEON_DESC	Beschreibung
WIKI_MONSTERINFO_DMG_HP	Damage {} - {} (Max-HP {})
ADMIN_MANAGER_OBSERVER_GENERAL_PID	ID: {}
WIKI_SUBCATEGORY_ARMOR	Rüstung
QUEST_TIMER_INFECTED	QUEST_TIMER_INFECTED
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_INAME_TOOLTIP	Item Name
WIKI_SUBCATEGORY_COSTUMES	Costumes
WIKI_SUBCATEGORY_FISHPUZZLE	Fischpuzzle
ADMIN_MANAGER_ITEM_MAIN_RESULT_OWNER_TYPE_PLAYER	Spieler
WIKI_SUBCATEGORY_RUNES	Runen
WIKI_SUBCATEGORY_BATTLEPASS	Battlepass
WIKI_SUBCATEGORY_WEAPONS	Waffen
WIKI_SUBCATEGORY_PET	Pet
WIKI_MONSTERINFO_IMMUNE_NOTHING	Nichts
WIKI_MONSTERINFO_LEVEL	Level {}
ADMIN_MANAGER_ITEM_MAIN_RESULT_WINDOW_EQUIPMENT	Equipment
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_IID_TOOLTIP	ItemID
ADMIN_MANAGER_BAN_CHAT_REASON_INPUT_BAN1	Chat ban 1
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_IID	ItemID
ADMIN_MANAGER_BAN_CHAT_REASON_INPUT_UNBAN1	Chat unban 1
WIKI_SUBCATEGORY_NEMERE	Nemere
WIKI_SUBCATEGORY_BELTS	Gürtel
WIKI_REFINEINFO_YANG_COSTS	Yangkosten
WIKI_MONSTERINFO_DROPLISTOF	Drop List {}
WIKI_CATEGORY_MONSTERS	Monster
WIKI_MONSTERINFO_IMMUNE_TO	Defence against {}
ADMIN_MANAGER_BAN_ACCOUNT_TOOLTIP_TIMEOUT	Läuf ab in {}
WIKI_SUBCATEGORY_SHOES	Schuhe
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_INAME	Item Name
ADMIN_MANAGER_MAPVIEWER_WARP_TEXT	Nach {}, {} teleportieren.
WIKI_SUBCATEGORY_OKAY_CARD	Okay Karten
ADMIN_MANAGER_BAN_CHAT_REASON_INPUT_UNBAN2	Chat unban 2
ADMIN_MANAGER_BAN_PLAYER_TOOLTIP_TIMEOUT	Läuft ab in {}
ADMIN_MANAGER_BAN_ACCOUNT_SEARCH_TYPE_ACCOUNT_TOOLTIP	Suche Account
ADMIN_MANAGER_OBSERVER_REASON_INPUT_BAN2	Bantext2
SWITCHBOT_NEWTEXT6	Hiermit kannst du die Anzeige von 6/7 Boni umschalten.
WIKI_REFINEINFO_ITEM_LEVEL	Item Level {}
ADMIN_MANAGER_BAN_PLAYER_TOOLTIP_OFFLINE	Offline
ADMIN_MANAGER_OBSERVER_BAN_STATUS_RUNNING	Noch {}
WIKI_CATEGORIES_TITLE	Title
YES	Ja
WIKI_CHESTINFO_CONTENTOF	Contain from {}
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_ACCOUNT	Account: {}({})
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_PLAYER	Spieler: {} (Lv.{}) PID: {}
QUEST_TIMER_LOCKED_TEXT	Gesperrt
WIKI_CATEGORY_EQUIPEMENT	Equipment
WIKI_SUBCATEGORY_DEMONTOWER	Dämonenturm
WIKI_SUBCATEGORY_LV100	Lv 100
ADMIN_MANAGER_BAN_LOG_TITLE	Spieler {}({})
WIKI_SUBCATEGORY_LV1_75	All
ADMIN_MANAGER_BAN_PLAYER_TOOLTIP_PID	Spieler-ID {}
ADMIN_MANAGER_BAN_ACCOUNT_SEARCH_TYPE_ACCOUNT	Suche Account
WIKI_SUBCATEGORY_105_AND_NOW	105 und jetzt?
WIKI_TITLENAME	Wiki
WIKI_SUBCATEGORY_HEXAGONAL_CHESTS	6eckige
ADMIN_MANAGER_OBSERVER_ITEM_ID_COPIED	Item ID {} kopiert ({})
WIKI_SUBCATEGORY_SKILL_COLOR	Skillfarben
ADMIN_MANAGER_BAN_ACCOUNT_TOOLTIP_ACCID	Account-Id {}
WIKI_MONSTERINFO_IMMUNE_TERROR	Fear
WIKI_CATEGORY_CHESTS	Truhen
WIKI_ITEMINFO_OPTAINEDFROM	Obtained from
ADMIN_MANAGER_BAN_CHAT_REASON_INPUT_BAN2	Chat ban 2
WIKI_SUBCATEGORY_TAG_TEAM	TagTeam
ADMIN_MANAGER_BAN_CHAT_UNBAN_NO_SELECTED	Kein Spieler ausgewählt
WIKI_MONSTERINFO_GOLD_EXP	Yang {} - {} EXP {}
ADMIN_MANAGER_BAN_PLAYER_TOOLTIP_NO_TIMEOUT	Läuft nicht ab
ADMIN_MANAGER_BAN_LOG_ACCOUNT_TITLE	Account {}({})
WIKI_SUBCATEGORY_EARRINGS	Ohrringe
ADMIN_MANAGER_BAN_CHAT_REASON_INPUT_TITLE_UNBAN	Chat freigeben
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_PLAYERBAN	{} mal gesperrt.
WIKI_MONSTERINFO_IMMUNE_SLOW	Slowing
WIKI_SUBCATEGORY_EVENT_CHESTS	Event Truhen
ADMIN_MANAGER_BAN_ACCOUNT_TOOLTIP_NO_TIMEOUT	Läuft nicht ab
WIKI_SUBCATEGORY_THE_START	Der Anfang
WIKI_SUBCATEGORY_SHOULDER_SASH	Schulterbänder
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_GM_ITEM_TOOLTIP	GM Item
WIKI_SUBCATEGORY_ORCMAZE	Dungeon-Guide
WIKI_SUBCATEGORY_CHESTS	Truhen
QUEST_TIMER_LOCKED_LEVEL	Level-Anforderungen nicht erfüllt
SWITCHBOT_CHECKBOX1	6/7 einblenden
WIKI_CATEGORY_COSTUMES	Costumes
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_PID	Spieler-ID
