ACCE_ABSORB_COST	Costo dell'assorbimento: {}
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Possibilità di riflettere un attacco corporale:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Resistenza ai danni corporali:
TOOLTIP_SKILL_COOL_TIME	Tempo di ricarica: 
TOOLTIP_SKILL_DAMAGE_BONUS	Danni abilità {}%
TOOLTIP_SKILL_DEFEND_BONUS	Resistenza contro i danni abilità {}%
TOOLTIP_SKILL_DURATION	Durata: {} Sec.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Libro dell'amnesia
TOOLTIP_SKILL_LEVEL	Livello attuale: {}
TOOLTIP_SKILL_LEVEL_MASTER	Livello attuale: {} (Maestro)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Livello attuale: {} (Max. {})
TOOLTIP_SOCKET_EMPTY	Vuoto
TOOLTIP_SOCKET_REFINABLE_ITEM	[Oggetto con montatura]
TOOLTIP_SP_REGEN	Rigenerazione MP +{}%
TOOLTIP_STR	Forza +{}
TOOLTIP_SURA	Sura
TOOLTIP_TIME_CHARGER_FIX	Tempo di ricarica {} sec. 
TOOLTIP_TIME_CHARGER_PER	Tempo di ricarica {}% 
TOOLTIP_UNIQUE	Unico
TOOLTIP_UNSEAL_LEFT_TIME	Slegamento dall'anima tra: {}H {}M
TOOLTIP_WARRIOR	Guerriero
TOOLTIP_WEAPON	Arma
TOOLTIP_WOLFMAN	Lican
TOOLTIP_WRISTLET	Bracciale
UI_ACCEPT	Accetta
UI_BOLD_FONT	Tahoma:12b
UI_CANCEL	Interrompi
UI_CLOSE	Chiudi
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Rifiuta
UI_ITEM	Resolution
UI_LEFT_TIME	Tempo rimanente: {} sec.
UI_NEXT	Avanti
UI_NEXTPAGE	Continua
UI_NOCONTENTS	Nessun contenuto
UI_NONAME	Nessun nome
UI_OK	Ok
UI_POS_UNKNOWN	Luogo sconosciuto
UI_PREVPAGE	Indietro
UI_UNKNOWN	Sconosciuto
UNLIMIT_ENTER_CZ_QUESTION	Puoi entrare nel Tempio dello Zodiaco per {} min. Vuoi usarlo?
UPDATE_TIME	Data
UPLOAD_MARK_CHECK_NEED_RECONNECT	Rifai l'upload
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Rifai l'upload
USE_ITEM_FAILURE_PRIVATE_SHOP	Non puoi usare degli oggetti se hai un negozio privato aperto.
USE_SKILL_ERROR_UNKNOWN	Errore abilità sconosciuto: {}
	
ACCE_ABSORB_COST	Absorption price: {}
AFFECT_BLUE_POSSESSION	 Indigo Wolf Soul
AFFECT_LOVE_POINT	Love points: {}%
AFFECT_RED_POSSESSION	 Crimson Wolf Soul
BLEND_POTION_NO_INFO	The bonuses are only visible after the purchase.
BLEND_POTION_NO_TIME	The time becomes visible only after the purchase.
CANNOT_CHANGE_FIGHT_MODE	You can't change the fight mode from this map.
CANNOT_TOGGLE_DS_STATE_SO_FAST	The status of the Alchemy can not be changed immediately. Please wait.
CHARACTER_CREATE_APPEARANCE1	Look 1
CHARACTER_CREATE_APPEARANCE2	Look 2
CHARACTER_CREATE_FEMALE	Female
CHARACTER_CREATE_MALE	Male
CHAT_OPEN_EMOJI	Emoji
CHOOSE_YOUR_SKILL_GROUP	Choose your training
CREATE_ERROR_LYCAN_DISABLED	You cannot create a lycan.
CUBE_CONFIRM	Do you really want to craft? The success rate is {}%.
DESTROY	Destroy
DESTROYER	 Destroy
DETAILS_78	Str. vs. Creatures
DETAILS_79	Str. vs. Bossmonster
DETAILS_80	Str. vs. Metinstones
DETAILS_TOOLTIP_78	Strong against Creatures: Deals heavier damage to Creatures.
DETAILS_TOOLTIP_79	Strong against Bossmonsters: Deals heavier damage to Bossmonsters.
DETAILS_TOOLTIP_80	Strong against Metinstones: Deals heavier damage to Metinstones.
DO_YOU_DESTROY_ITEM	Do you want to DESTROY this item?
DO_YOU_REMOVE_ITEM_FROM_SHOP	Do you want to remove {} from your shop?
DO_YOU_WANT_TO_OPEN_THIS_WEB_LINK	Are you sure that you want to open up this link? 
EMOTION_THROW_MONEY	Rich
EMOTION_THROW_MONEY_DESC	Throws 1000 Coins and distribut them (with a charge) to the player nearby
ENTER_THE_NAME_FOR_YOUR_PRESET	Name your preset:
ERROR_TARGET_HAVE_BLOCK_CHAT	|cffff796a|H|h[Block chat] Ich kann dir nicht antworten, da ich einen Chat-Block habe.:|h|r [{} Stunden] [{} Minuten] [{} Sekunden]
GIFTBOX_FUNCTIONALITY_DESC	CTRL + right click to open 50 examples.
GUILDSTORAGE_NEXT_LOG_OPEN_TIME	Du kannst die Logs erst wieder in 30 Sekunden anfordern.
HID_QUEST_BUTTONS	Hide Quests
INNER_DECAY	Inner decay
INTRO_SELECT_LEVEL	Lv. {}
INVENTORY_REALLY_STOP_USE_ITEM	Are you sure that you want to take this item off?
LANG_ARABIC	Arabic
LANG_BULGARIAN	Bulgarian
LANG_CROATIAN	Croatian
LANG_CZECH	Czech
LANG_DANISH	Danish
LANG_DEFAULT	Default
LANG_ENGLISH	English
LANG_FRENCH	French
LANG_GERMAN	German
LANG_GREEK	Greek
LANG_HUNGARIAN	Hungarian
LANG_ITALIAN	Italian
LANG_NETHERLANDISH	Dutch
LANG_POLISH	Polish
LANG_PORTUGUESE	Portuguese
LANG_RESTART_FOR_CHANGE	VERY IMPORTANT! A Client-Restart is needed to activate your settings.
LANG_ROMANIAN	Romanian
LANG_RUSSIAN	Russian
LANG_SPANISH	Spanish
LANG_TURKEY	Turkish
LOGIN_CONNECT_CANCEL	The connection has stopped.
LOGIN_FAILURE_SHUTDOWN_TIME	Go to bed ...
LOGIN_FAILURE_VERSION	Your client is too old please patch.
LOGIN_FAILURE_WRONG_SOCIALID	Your security code is wrong
LOGIN_THROTTLE_TEXT	Too many failes logins\\nTry again in {}.
MAP_AFFEN	Solitary
MAP_ALABASTA	Anime-Farmmap (150)
MAP_ANGLAR_DUNGEON	Anglar Dungeon
MAP_CRYSTAL_DUNGEON	Crystal-Dungeon
MAP_DEMONDUNGEON	Dimension-Dungeon
MAP_DEVILTOWER2	Hell-Dungeon
MAP_EISLAND	Iceland High
MAP_FEUERLAND	Fireland High
MAP_FEUERWALDEIS	Fireforest ice 
MAP_GUILD_BUILD	GM-Playground
MAP_GUILD_INSIDE	Monarch country 
MAP_NAGA	Naga Valley
MAP_ORC_LABRINTH	Orc-Maze
MAP_ORKA	Orka
MAP_TREE2	Red Wood
MAP_UNDERWATER	Underwater-Dungeon
MAP_ZODIAC	Zodiac Temple
MESSAGE_POPUP_FRIEND_LOGIN	{} is online now
MESSAGE_POPUP_FRIEND_LOGOUT	{} is offline now
MESSAGE_POPUP_MESSAGE	Notice
MESSENGER_ADD_FRIEND_ANSWER_TIMEOVER	Friendship request aborted.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND	{} send you a friendrequest, accept?
MINI_GAME_RUMI_EXIT_QUESTION2	 You receive a reward based on your points.
MINI_GAME_RUMI_START_QUESTION2	 Dou you want to play?
NEVER_EXPIRES_DURATION	Does not expire
NOT_POSSIBLE	[Not allowed]
OPTION_SHOW_NPC_SHOPS	Shops
OWN_INVALID_LANGUAGE	This language is currently not available.
OWN_LOGIN_FAILURE_ADVERT	Fremdwerbung, Account permanent gesperrt.
OWN_LOGIN_FAILURE_AMZ	Wrong Amazoncode
OWN_LOGIN_FAILURE_AMZN	Wrong Amazoncode
OWN_LOGIN_FAILURE_BOT	Botting detected/Permanently Banned
OWN_LOGIN_FAILURE_DON	Donation Error
OWN_LOGIN_FAILURE_EPVP	Versuch auf EPVP zu handeln
OWN_LOGIN_FAILURE_HWIDB	Zugriff verweigert.
OWN_LOGIN_FAILURE_MAINT	Maintenance/Wartung
OWN_LOGIN_FAILURE_PERM	Virtuelles Hausverbot, keine Diskussion.
OWN_LOGIN_FAILURE_PWCHANGE	Please change your password
OWN_LOGIN_FAILURE_SCAM	This account was hacked, please contact the Team
OWN_LOGIN_FAILURE_TRADE	Server Trading/Permanently Banned
OWN_LOGIN_FAILURE_TS3	Please come to our teamspeak server
OWN_LOGIN_FAILURE_WHWID	PC is not enabled for this account
POLYMORPH_AFFECT_REMOVE_QUESTION	Are you sure you want to remove polymorph?
POLYMORPH_AFFECT_TOOLTIP	Polymorph Marble
PRESET_DELETE	Del.
PRESET_DELETE_TOOLTIP	Delete the current preset
PRESET_SAVE	S.
PRESET_SAVE_TOOLTIP	Save your preset
PRIVATESHOPSEARCH_COSTUME_WEAPON	 Weapon Skin
PRIVATESHOPSEARCH_RING	Ring
PRIVATESHOPSEARCH_SUB_AFFECT	Elixier
PRIVATESHOPSEARCH_SUB_ANIT_EXP	Anti-EXP
PRIVATESHOPSEARCH_SUB_AUTO_HP	Auto-HP
PRIVATESHOPSEARCH_SUB_AUTO_SP	Auto-SP
PRIVATESHOPSEARCH_SUB_MOUNT	Mounts
PRIVATESHOPSEARCH_SUB_PET	Pets
PRIVATESHOPSEARCH_TOGGLE	toggleable
PROPOSALS	Proposals
REFINE_COST_AND_PERC	Chance: {}%\nCosts: {} Gold
REFINE_KEEP_WINDOW_OPEN	Keep window open?
SCREENSHOT_SAVE_SUCCESS	Your screenshot has been successfully saved {}..
SELECT_STORAGE_GUILD	Guild Storage
SELECT_STORAGE_MALL	Mall Storage
SELECT_STORAGE_SAFEBOX	Safebox
SELECT_STORAGE_TITLE	Choose Storage
SHOP_ITEM_REMOVED	Sold out
SHOWN_QUEST_BUTTONS	show Quests
SKILLGROUP_NAME_ASSASSIN_1	Blade Fight
SKILLGROUP_NAME_ASSASSIN_2	Archery
SKILLGROUP_NAME_NONE	None
SKILLGROUP_NAME_SHAMAN_1	Dragon Force
SKILLGROUP_NAME_SHAMAN_2	Healing Force
SKILLGROUP_NAME_SURA_1	Magic Weapon
SKILLGROUP_NAME_SURA_2	Black-Magic
SKILLGROUP_NAME_WARRIOR_1	Body-Fight
SKILLGROUP_NAME_WARRIOR_2	Mental-Fight
SKILL_BUDONG	Wird nicht mehr benutzt
SKILL_GEONGON	SKILL_GEONGON Wird nicht mehr benutzt
SKILL_GRADE_NAME_LEGENDARY_MASTER	{} Legendary Master
SKILL_GROUP_WOLFMAN_1	Instinct
SKILL_GROUP_WOLFMAN_2	N.A
SKILL_HWAYEOM	SKILL_HWAYEOM Wird nicht mehr benutzt
SKILL_HYEOLMA	SKILL_HYEOLMA Wird nicht mehr benutzt
SKILL_INMA	SKILL_INMA Wird nicht mehr benutzt
SKILL_JEUNGCHE	SKILL_JEUNGCHE Wird nicht mehr benutzt
SKILL_JEUNGHON	SKILL_JEUNGHON Wird nicht mehr benutzt
SKILL_JIGAM	SKILL_JIGAM Wird nicht mehr benutzt
SKILL_JIPJUNG	SKILL_JIPJUNG Wird nicht mehr benutzt
SKILL_JUMAGEOM	SKILL_JUMAGEOM Wird nicht mehr benutzt
SKILL_KWAEGEOM	SKILL_KWAEGEOM Wird nicht mehr benutzt
SKILL_LEGBOUND	SKILL_LEGBOUND Wird nicht mehr benutzt
SKILL_MUSA	SKILL_MUSA Wird nicht mehr benutzt
SKILL_SINCHAK	SKILL_SINCHAK Wird nicht mehr benutzt
SKILL_WONSIN	SKILL_WONSIN Wird nicht mehr benutzt
SKILL_YONGSIN	SKILL_YONGSIN Wird nicht mehr benutzt
SWITCHBOT_TEXT1	Launch Switchbot
SWITCHBOT_TEXT10	) start
SWITCHBOT_TEXT11	Inactive
SWITCHBOT_TEXT12	6/7 Active
SWITCHBOT_TEXT13	6/7 stop
SWITCHBOT_TEXT14	Finished
SWITCHBOT_TEXT15	) stop
SWITCHBOT_TEXT16	6/7 Finished
SWITCHBOT_TEXT17	6/7 resume
SWITCHBOT_TEXT18	Slot {}: finished!
SWITCHBOT_TEXT19	Slot {}: no Switchitems!
SWITCHBOT_TEXT2	Start 6/7
SWITCHBOT_TEXT20	Active ({}%)
SWITCHBOT_TEXT21	Slot 6/7 {}: finished!
SWITCHBOT_TEXT22	Active 6/7 ({}%)
SWITCHBOT_TEXT23	Place item here
SWITCHBOT_TEXT24	You cannot switch this item.
SWITCHBOT_TEXT25	This slot has already been inserted!
SWITCHBOT_TEXT26	Item added!
SWITCHBOT_TEXT27	expand
SWITCHBOT_TEXT28	stop all
SWITCHBOT_TEXT29	Minimize
SWITCHBOT_TEXT3	Bonus 
SWITCHBOT_TEXT30	Detailed Help
SWITCHBOT_TEXT31	Help
SWITCHBOT_TEXT32	Info
SWITCHBOT_TEXT33	start
SWITCHBOT_TEXT34	+str(index+1)+
SWITCHBOT_TEXT4	- No attribute selected -
SWITCHBOT_TEXT5	Inactive
SWITCHBOT_TEXT6	6/7 Inactive
SWITCHBOT_TEXT7	close tab
SWITCHBOT_TEXT8	Active
SWITCHBOT_TEXT9	switch (
TARGET_BUTTON_UNBLOCK	Deblock
TARGET_CHAT_BLOCK	Player Chat block
TARGET_DISCONNECT	 Kik player 
TARGET_HP_INFO	{0}/{1}({2:0.2f}%) HP
TARGET_INFO_DAMAGE	Danno : {} - {}
TARGET_INFO_DEFENSE	Defence : {}
TARGET_INFO_EXP	Esperienza : {}
TARGET_INFO_GOLD_MIN_MAX	Yang: {} ~ {}
TARGET_INFO_MAINRACE	Razza : {}
TARGET_INFO_MAX_HP	Max. HP : {}
TARGET_INFO_NEWRACE_DESERT	Desert
TARGET_INFO_NEWRACE_FIRE	Fuoco
TARGET_INFO_NEWRACE_ICE	Ghiaccio
TARGET_INFO_NEWRACE_INSECT	Insect
TARGET_INFO_NEWRACE_TREE	Tree
TARGET_INFO_NO_ITEM_TEXT	 No available items
TARGET_INFO_NO_RACE	 No Razza
TARGET_INFO_RACE_ANIMAL	Rathalos
TARGET_INFO_RACE_DARK	Darkness
TARGET_INFO_RACE_DESERT	Desert Creature
TARGET_INFO_RACE_DEVIL	Diavolo
TARGET_INFO_RACE_EARTH	Earth
TARGET_INFO_RACE_ELEC	Lampo 
TARGET_INFO_RACE_FIRE	Fuoco
TARGET_INFO_RACE_HUMAN	Half Human
TARGET_INFO_RACE_ICE	Ghiaccio
TARGET_INFO_RACE_INSECT	Insect
TARGET_INFO_RACE_METIN	Pietra
TARGET_INFO_RACE_MILGYO	Gods
TARGET_INFO_RACE_ORC	Fatalis
TARGET_INFO_RACE_TREE	Creatures
TARGET_INFO_RACE_UNDEAD	Undead
TARGET_INFO_RACE_WIND	Vento
TARGET_INFO_REGEN_INFO	Rigen {}% ogni {} sec.
TARGET_INFO_RESISTS	Resistenze:
TARGET_INFO_RESISTS_LINE0	Spada: {}% Spadone: {}% Campana: {}%
TARGET_INFO_RESISTS_LINE1	Pugnale: {}% Ventaglio: {}% Arco: {}%
TARGET_INFO_STONE_NAME	 Ghost stone
TARGET_INFO_SUBRACE	Sottospecie : {}
TARGET_LEVEL_LEGENDARY	Legendary
TIME_MIN	{}Min
TIME_MIN_SEC	{}Min:{}Sec
TOOLTIP_ANTIFLAG_CHANGE_ATTRIBUTE	Switch
TOOLTIP_ANTIFLAG_DESTROY	Destroy
TOOLTIP_ANTIFLAG_DROP	Drop
TOOLTIP_ANTIFLAG_GIVE	Exchange
TOOLTIP_ANTIFLAG_MYSHOP	Shop
TOOLTIP_ANTIFLAG_PKDROP	PvP-Drop
TOOLTIP_ANTIFLAG_SAFEBOX	Storage
TOOLTIP_ANTIFLAG_SELL	Sell
TOOLTIP_ANTIFLAG_STACK	Stack
TOOLTIP_APPLY_ATTBONUS_ARACHNID	Strong against Spiders +{}%
TOOLTIP_APPLY_ATTBONUS_BOSS	Strong against Bosses + {}%
TOOLTIP_APPLY_ATTBONUS_METIN	Strong against Metinstones +{}%
TOOLTIP_APPLY_ATTBONUS_TRENT	Forte contro Creatures + {}%
TOOLTIP_APPLY_BOOST_CRITICAL_DMG	Critical Boost +{}%
TOOLTIP_APPLY_BOOST_PENETRATE_DMG	Penetrate Boost +{}%
TOOLTIP_EXP_CURSE	ExpFluch+{}
TOOLTIP_NEXT_SKILL_LEVEL_3	Next Level: {}
TOOLTIP_PICK_MAX	 Maximum Upgrade
TOOLTIP_SHOP_DOUBLE_UP	Offline time+{}
TRADE_FOR_NOTHING1	You are giving items away,
TRADE_FOR_NOTHING2	this cannot be reversed.
TRADE_FOR_NOTHING3	Are you sure you want to continue?
VALUABLE_ITEM_SURE	This item could be valueable for you
WAR_DIALOG_LIVES	Lifes
WHISPER_ADMIN_CANCEL_ACTION	Beende Aktion
WHISPER_ADMIN_CANNOT_SEND_MESSAGE	You cannot Answer the System.
WHISPER_ADMIN_CLEAR_MESSAGE	Lösche Text
WHISPER_ADMIN_CUR_LANG	[i] Aktuelle Sprache gewählt: |cFFffce00[{}]
WHISPER_ADMIN_LEN_TEXT	[i] Mindest/Maximale Zeichen: |cFF7cff00{}|r / |cFFff0000{}|r
WHISPER_ADMIN_MESSAGE	[Information] : [{}] : {}
WHISPER_ADMIN_QUESTION_SEND	Bist du dir sicher diese Nachricht zu versenden ? Wenn du keine Erlaubnis zum Benutzen vom Panel besitz, wirst du mit Konsequenzen rechenn müssen.
WHISPER_ADMIN_SEND_MESSAGE	Sende Nachricht
WHISPER_ADMIN_TITLE_NAME	GM: Sende whisper Nachricht für das jeweilige Reich
YOUR_PRESET_WAS_CREATED	Your preset {} was created successfully.
YOUR_PRESET_WAS_REMOVED	Your preset {} was successfully removed.
YOUR_SHOP	Your Shop
YOU_NEED_TO_NAME_YOUR_PRESET	You need to name your preset.
YOU_NEED_TO_NAME_YOUR_PRESET_PROPERLY	You need to name your proposal properly now special chars allowed.
LOGIN_FAILURE_PIN	PIN errato
LOGIN_FAILURE_PINBLK	PIN errato
AFFECT_REMOVE_QUESTION	Vuoi davvero rimuovere questo buff?
REFINE_SET_1666_WARNING_1	Are you sure you want to improve this item?
REFINE_SET_1666_WARNING_2	ATTENTION: All ores disappear after reinforcement.
WHISPER_GM_WARNING	Messages such as "Hi" or "Hello" are ignored. To get an answer as soon as possible, please ask your question directly.
WHISPER_USER_WARNING	[Info] Never give away your login or password. Buying virtual goods for real money is prohibited.
END_PREVIEW	V. Close
CHOOSE_TITLE	Choose Title
CHOOSE_TITLE_TEXT	Choose a title and a color.
HGUARD_CODE_ERROR	Invalid code
PRIVATE_SHOP_REMOVE_ITEM_QUESTION	Do you really want to remove this item?
PRIVATE_SHOP_OPEN_BUTTON	Open shop
PREVIEW	Preview
LOGIN_FAILURE_EINVAL	Falsche Eingabe!
WIKI_CHESTINFO_COMMON_DROP	Alternativdropp
CHARACTER_NAME_MAX_LEN	24
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_OFFLINE	Offline
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_ACCOUNTBAN	Bereits {} mal gesperrt.
WIKI_CATEGORY_DUNGEONS	Dungeons
WIKI_CATEGORY_EVENTS	Events
QUEST_TIMER_DUNGEON_DESC	Beschreibung
WIKI_MONSTERINFO_DMG_HP	Danno {} - {} (Max-HP {})
ADMIN_MANAGER_OBSERVER_GENERAL_PID	ID: {}
WIKI_SUBCATEGORY_ARMOR	Rüstung
QUEST_TIMER_INFECTED	QUEST_TIMER_INFECTED
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_INAME_TOOLTIP	Item Name
WIKI_SUBCATEGORY_COSTUMES	Costumes
WIKI_SUBCATEGORY_FISHPUZZLE	Fischpuzzle
ADMIN_MANAGER_ITEM_MAIN_RESULT_OWNER_TYPE_PLAYER	Spieler
WIKI_SUBCATEGORY_RUNES	Runen
WIKI_SUBCATEGORY_BATTLEPASS	Battlepass
WIKI_SUBCATEGORY_WEAPONS	Waffen
WIKI_SUBCATEGORY_PET	Pet
WIKI_MONSTERINFO_IMMUNE_NOTHING	Nichts
WIKI_MONSTERINFO_LEVEL	Level {}
ADMIN_MANAGER_ITEM_MAIN_RESULT_WINDOW_EQUIPMENT	Equipment
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_IID_TOOLTIP	ItemID
ADMIN_MANAGER_BAN_CHAT_REASON_INPUT_BAN1	Chat ban 1
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_IID	ItemID
ADMIN_MANAGER_BAN_CHAT_REASON_INPUT_UNBAN1	Chat unban 1
WIKI_SUBCATEGORY_NEMERE	Nemere
WIKI_SUBCATEGORY_BELTS	Gürtel
WIKI_REFINEINFO_YANG_COSTS	Yangkosten
WIKI_MONSTERINFO_DROPLISTOF	Drop List {}
WIKI_CATEGORY_MONSTERS	Monster
WIKI_MONSTERINFO_IMMUNE_TO	Defence against {}
ADMIN_MANAGER_BAN_ACCOUNT_TOOLTIP_TIMEOUT	Läuf ab in {}
WIKI_SUBCATEGORY_SHOES	Schuhe
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_INAME	Item Name
ADMIN_MANAGER_MAPVIEWER_WARP_TEXT	Nach {}, {} teleportieren.
WIKI_SUBCATEGORY_OKAY_CARD	Okay Karten
ADMIN_MANAGER_BAN_CHAT_REASON_INPUT_UNBAN2	Chat unban 2
ADMIN_MANAGER_BAN_PLAYER_TOOLTIP_TIMEOUT	Läuft ab in {}
ADMIN_MANAGER_BAN_ACCOUNT_SEARCH_TYPE_ACCOUNT_TOOLTIP	Suche Account
ADMIN_MANAGER_OBSERVER_REASON_INPUT_BAN2	Bantext2
SWITCHBOT_NEWTEXT6	Hiermit kannst du die Anzeige von 6/7 Boni umschalten.
WIKI_REFINEINFO_ITEM_LEVEL	Item Level {}
ADMIN_MANAGER_BAN_PLAYER_TOOLTIP_OFFLINE	Offline
ADMIN_MANAGER_OBSERVER_BAN_STATUS_RUNNING	Noch {}
WIKI_CATEGORIES_TITLE	Title
YES	Ja
WIKI_CHESTINFO_CONTENTOF	Contain from {}
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_ACCOUNT	Account: {}({})
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_PLAYER	Spieler: {} (Lv.{}) PID: {}
QUEST_TIMER_LOCKED_TEXT	Gesperrt
WIKI_CATEGORY_EQUIPEMENT	Equipment
WIKI_SUBCATEGORY_DEMONTOWER	Dämonenturm
WIKI_SUBCATEGORY_LV100	Lv 100
ADMIN_MANAGER_BAN_LOG_TITLE	Spieler {}({})
WIKI_SUBCATEGORY_LV1_75	All
ADMIN_MANAGER_BAN_PLAYER_TOOLTIP_PID	Spieler-ID {}
ADMIN_MANAGER_BAN_ACCOUNT_SEARCH_TYPE_ACCOUNT	Suche Account
WIKI_SUBCATEGORY_105_AND_NOW	105 und jetzt?
WIKI_TITLENAME	Wiki
WIKI_SUBCATEGORY_HEXAGONAL_CHESTS	6eckige
ADMIN_MANAGER_OBSERVER_ITEM_ID_COPIED	Item ID {} kopiert ({})
WIKI_SUBCATEGORY_SKILL_COLOR	Skillfarben
ADMIN_MANAGER_BAN_ACCOUNT_TOOLTIP_ACCID	Account-Id {}
WIKI_MONSTERINFO_IMMUNE_TERROR	Fear
WIKI_CATEGORY_CHESTS	Truhen
WIKI_ITEMINFO_OPTAINEDFROM	Obtained from
ADMIN_MANAGER_BAN_CHAT_REASON_INPUT_BAN2	Chat ban 2
WIKI_SUBCATEGORY_TAG_TEAM	TagTeam
ADMIN_MANAGER_BAN_CHAT_UNBAN_NO_SELECTED	Kein Spieler ausgewählt
WIKI_MONSTERINFO_GOLD_EXP	Yang {} - {} EXP {}
ADMIN_MANAGER_BAN_PLAYER_TOOLTIP_NO_TIMEOUT	Läuft nicht ab
ADMIN_MANAGER_BAN_LOG_ACCOUNT_TITLE	Account {}({})
WIKI_SUBCATEGORY_EARRINGS	Ohrringe
ADMIN_MANAGER_BAN_CHAT_REASON_INPUT_TITLE_UNBAN	Chat freigeben
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_PLAYERBAN	{} mal gesperrt.
WIKI_MONSTERINFO_IMMUNE_SLOW	Slowing
WIKI_SUBCATEGORY_EVENT_CHESTS	Event Truhen
ADMIN_MANAGER_BAN_ACCOUNT_TOOLTIP_NO_TIMEOUT	Läuft nicht ab
WIKI_SUBCATEGORY_THE_START	Der Anfang
WIKI_SUBCATEGORY_SHOULDER_SASH	Schulterbänder
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_GM_ITEM_TOOLTIP	GM Item
WIKI_SUBCATEGORY_ORCMAZE	Dungeon-Guide
WIKI_SUBCATEGORY_CHESTS	Truhen
QUEST_TIMER_LOCKED_LEVEL	Level-Anforderungen nicht erfüllt
SWITCHBOT_CHECKBOX1	6/7 einblenden
WIKI_CATEGORY_COSTUMES	Costumes
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_PID	Spieler-ID
QUEST_TIMER_BIOLOGREADY	Biologe Bereit
ADMIN_MANAGER_BAN_ACCOUNT_SEARCH_TYPE_PLAYER_TOOLTIP	Suche Spieler
WIKI_MONSTERINFO_IMMUNE_CURSE	Curse
ADMIN_MANAGER_OBSERVER_BAN_STATUS_NONE	Kein Bann
WIKI_SUBCATEGORY_PVP_TOURNAMENT	PvP Turnier
WIKI_SUBCATEGORY_MOONLIGHT_CHESTS	Mondlichschatztruhen
WIKI_ITEMINFO_REFINEINFO	Refine Info {}
ADMIN_MANAGER_BAN_CHAT_SEARCH_NO_PLAYER	Kein Name angegeben
WIKI_SUBCATEGORY_EMPIRE_WAR	Reichskrieg
WIKI_MONSTERINFO_IMMUNE_POISON	Gift
WIKI_MONSTERINFO_STATISTICSOF	Statics from {}
ADMIN_MANAGER_ITEM_MAIN_RESULT_WINDOW_SAFEBOX	Lager
QUEST_TIMER_MINLVL	Min Lv
ADMIN_MANAGER_BAN_RESULT_BAN_TIME_INVALID	Ungültige Zeit
WIKI_CATEGORY_GUIDES	Guides
WIKI_MONSTERINFO_IMMUNE_STUN	blackouts
ADMIN_MANAGER_ITEM_MAIN_RESULT_OWNER_TYPE_ACCOUNT	Account
WIKI_SUBCATEGORY_DRAGONALCHEMY	System-Guides
QUEST_TIMER_COOLDOWN	Cooldown
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_NO_TIMEOUT	Account ist frei
WIKI_SUBCATEGORY_CRYSTAL_DRAGON	Kristalldrache
WIKI_MONSTERINFO_IMMUNE_FALL	Fallen
ADMIN_MANAGER_BAN_ACCOUNT_TOOLTIP_ACCBAN_COUNT	Banns bisher {}
WIKI_SUBCATEGORY_RAZADOR	Razador
NO	Nein
QUEST_TIMER_QUESTITEM	Quest Gegenstand
ADMIN_MANAGER_ITEM_MAIN_RESULT_WINDOW_INVENTORY	Inventar
ADMIN_MANAGER_OBSERVER_GENERAL_GOLD	Yang: {}
WIKI_SUBCATEGORY_BERAN_SETAOU	Beran Setaou
WIKI_SUBCATEGORY_TALISMANS	Talismane
WIKI_SUBCATEGORY_RINGS	Ringe
WIKI_SUBCATEGORY_ELIXIR	Elixiere
QUEST_TIMER_AVAILABLE	Verfügbar
ADMIN_MANAGER_OBSERVER_REASON_INPUT_TITLE_BAN	Bannen
QUEST_TIMER_LOCKED	Gesperrt
WIKI_SUBCATEGORY_AZRAEL	Devilscatacomb
ADMIN_MANAGER_OBSERVER_GENERAL_NAME	Name: {}
WIKI_SUBCATEGORY_ZODIAC	Zodiac
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_PID_TOOLTIP	Spieler-ID
ADMIN_MANAGER_BAN_PLAYER_TOOLTIP_ONLINE	Online
WIKI_SUBCATEGORY_JOTUN_THRYM	Jotun Thrym
ADMIN_MANAGER_BAN_ACCOUNT_SEARCH_NO_NAME	Kein Name angegeben.
QUEST_TIMER_SLIME	QUEST_TIMER_SLIME
ADMIN_MANAGER_BAN_ACCOUNT_UNBAN_NO_SELECTED	Kein Spieler ausgewählt
